date,text,"Status (Rescheduled, Postponed, Cancelled)",Artist/Festival Name,Genre,US (yes/no),Refund? ,Press Release Link?,Popularity??
4-Apr,"April 3Â : Niall HoranÂ announced his world tour postponement with a heartbroken message on social media. ""This was a difficult decision, but the well:being of my fans and my touring family is always my priority,"" he wrote in the note, fittingly backdropped by an image of a thunderstorm (seemingly from the image on hisÂ Heartbreak WeatherÂ album art).",P,Niall Horan,Pop,Yes,,,
4-Apr,"James Taylor and His All:Star Band, with special guest Jackson Browne, have postponed their upcoming tour. New dates will be announced soon.Â ""As this summer's tour of 27 towns and cities across the US drew near, we've been increasingly excited to hit the road again,""Â Taylor and Browne said in a joint statement. ""So it's deeply disappointing for both of us to have to call it off and reschedule (and reschedule we WILL)! As we all now realize, COVID:19 is a serious, real and present danger. Moreover, our public health is all of our responsibility. So let us listen to and follow the directions of our public healthcare people and support their efforts in this unprecedented time of global pandemic. Love those around you and, above all, stay safe and healthy.""",P,James Taylor and His All Star Band,Rock,Yes,,,
1-Apr,"Justin Bieber announced the postponement of his 2020 Changes Tour, which was slated to run May 14- Sept. 26. ""In light of the current public health crisis, and with the deepest concern for all those being affected, Justin Bieber will be postponing all currently scheduled 2020 dates for The Changes Tour,"" read the official statement.",P,Justin Bieber,Pop,Yes,,,
1-Apr,Michael Buble postponed several May dates of his An Evening With Michael Buble Tour.,P,Michael Buble,Pop,Yes,,,
1-Apr,"Modern English postponed their 40th anniversary tour of North America. ""We all need to take the utmost care of each other and especially support the medical staff and key workers who are striving to save us all. Please stay at home...The plan is to reconvene in September,"" said the group's Mick Conroy.",P,Modern English,Rock,Yes,,,
31-Mar,"Alabama's Hangout Fest canceled its Gulf Shore beachside bash, which was originally scheduled for May 15-17. The three-day event is exploring any potential new dates of its 2020 edition, which is slated to feature performances from the Red Hot Chili Peppers, Billie Eilish, Post Malone, Lana Del Rey and more. ""This morning we received notice from the City of Gulf Shores that Hangout 2020 cannot proceed in May due to COVID-19,"" the music festivalÂ tweeted. ""After our fastest sellout ever, and what was shaping up to be a banner year on the beach, we are gutted that this is the outcome for all of you, but agree that this is the right decision for the health and safety of everyone involved.""",C,Hangout Fest,Festival,Yes,,,
31-Mar,"Australia's Helpmann Awards, the live industry's flagship awards ceremony, has been cancelled for 2020.Â â€œOur number one priority right now is to secure more government support for the hundreds of thousands of people across our industry who have lost income and work as a result of the shutdowns,"" explains Evelyn Richardson, CEO of Live Performance Australia, organizer of the annual gala.",C,,,,,,
31-Mar,QueenÂ andÂ Adam LambertÂ announced that the upcoming European leg of the Rhapsody Tour would be postponed until next year.,P,Queen and Adam Lambert,Rock,No,,,
30-Mar,"Miami's electronic and alternative festival III Points has announced it will postpone to the fall.Â Originally scheduled for May 1-2, the event is now set for Oct. 16-17 in its original location at Mana Wynwood in Miamiâ€™s Wynwood Arts District.Â In addition to original headliners The Strokes, Robyn, Wu-Tang Clan, Kaytranada, Caribou, Amon Tobin Presents Two Fingers, Tycho and Green Velvet, III Points has also added RÃ¼fÃ¼s Du Sol, Artbat, Chromatics and Peaches doing a 20th-anniversary performance of Teaches of Peaches.",P,III Points,Festival,Yes,,,
30-Mar,"Annual music business conference Midem is moving its 2020 edition:: which was set for June 2:5 in Cannes:: online instead. The Midem Digital Edition will livestream globally during those dates,Â allowing virtual attendees to ""discuss, collaborate and share solutions with a focus on the most impacted music stakeholders,"" according to a press release.Â Meanwhile, the next in:person edition of Midem is set for June 1:4, 2021, in Cannes, marking the event's 55th anniversary.",,,,,,,
30-Mar,"Similarly, the American Association of Independent Music (A2IM) is moving its Indie Week event for the independent music industry, which culminates in the Libera Awards, online. The virtual edition will take place during the same dates originally planned, June 15:18. Usually, the four:day event is held in New York City.",,,,,,,
30-Mar,"Purity Ring has postponed their May:June tour to the fall.Â ""We haven't toured for years and we were very much looking forward...we are still pumped to get out and see you as soon as it will be safe to do so,"" the band said in a statement.",P,Purity Ring,Pop,Yes,,,
28-Mar,"Primavera Sound, which typically kicks off the summer at Barcelona's Parc del Forum, will be shifting to the end of the season. The festival will now take place Aug. 26-30 at the same location, and they're hoping to maintain as much of their original lineup-- which featured Lana Del Rey, Bad Bunny, Tyler, The Creator and more as headliners-- for their new dates. In a statement published on Saturday, the Primavera Sound team wrote they ""will make every effort to ensure that this change, imposed as a result of the current global health crisis, affects the festivalâ€™s programme as little as possible.""",R,Primavera Sound,Festival,No,,,
27-Mar,"After initially stating March 13 that it planned toÂ move forward with its scheduled July 1-5 datesÂ in New Orleans, Essence Fest 2020 announced late Friday that it will move ""closer to the fall"" instead, given the heightened concerns around the coronavirus.",P,Essence Fest,Festival,Yes,,,
27-Mar,"Ringo Starr's All Starr Band has rescheduled its spring 2020 tour to spring/summer 2021. The tour was slated to kick off May 29 at Casino Rama in Rama, Ontario, Canada.Â â€œThis is very difficult for me,â€ Starr said in a statement. â€œIn 30 years I think Iâ€™ve only missed 2 or 3 gigs, never mind a whole tour.Â But this is how things are for all of us now, I have to stay in just like you have to stay in, and we all know itâ€™s the peace and loving thing we do for each other.â€",R,Ringo Starr's All Starr Band,Rock,Yes,,,
26-Mar,"BTS is rescheduling the upcoming North America dates for its world tour amid the ongoing novel coronavirus pandemic. TheÂ Map of the Soul tourÂ was scheduled to kick off April 25 and 26 in Santa Clara, Calif., followed by three days at the Rose Bowl in Pasadena in early May and winding through Dallas, Orlando, Atlanta, New Jersey, Washington D.C. and Toronto before ending June 5 and 6 at Soldier Field in Chicago.",R,BTS,Rock,Yes,,,
26-Mar,"Britain's Download Festival 2020 is canceled.Â â€œThis decision hasnâ€™t been taken lightly and weâ€™re beyond disappointed, we extend our heartfelt apologies to all of you: we really did try to make this work,"" a statement reads. The hard rock and fest spectacularÂ was scheduled to take place June 12:14 at Donington Park.",C,Download Festival,Festival,No,,,
26-Mar,"Mountain Jam, which was set to take place May 29:31 in Bethel, N.Y., has been canceled.Â ""We want to thank everyone who has stood by us over the years and look forward to making Mountain Jam 2021 the best festival ever. Stay safe, and we will see you next year. Tickets will automatically be refunded at point of purchase,"" organizers said in a statement.",C,Mountain Jam,Festival,Yes,,,
26-Mar,"The 2020 Isle of Wight Festival is scrapped.Â â€œThis decision hasn't been taken lightly and we have tried our hardest to make it work, but it was unavoidable given the current status,â€ a statement explains. The popular event was slated for June 11: 14 at Seaclose Park in Newport.",C,Isle of Wight Festival,Festival,No,,,
26-Mar,"The APRA Music Awards will go with a ""virtual"" format this year. Originally slated to take placeÂ April 28 at the International Convention Centre in Sydney, a different kind of ceremony will instead be streamed on May 26 from an as:yet:unannounced venue.Â ""Itâ€™s important to celebrate and acknowledge the success and artistry of our songwriters whose work enriches our lives,"" comments songwriter and APRA board chair Jenny Morris. ""They will be the ones who help us get through this time.â€",,,,,,,
26-Mar,"Governors Ball 2020 is canceled.Â Tame Impala, Flume and Vampire Weekend were set to headline the New York festival.",C,Governors Ball,Festival,Yes,,,
25-Mar,Bon Iver have rescheduledÂ theirÂ spring European tourÂ to January 2021. The only date that has been fully canceled is the April 27 show in Birmingham.,R,Bon Iver,Rock,No,,,
25-Mar,"Harry Styles' Love On Love tour of the U.K. and Europe is pushed back to 2021 for ""obvious reasons,"" the British pop star explains. ""Anyone who knows me, knows that performing has always been my favorite part of working in music,"" he tweets. ""However, during times like these, the safety and protection of touring crew, fans, and everyone else around the world is an immediate priority."" New dates are announced from February 2021.",R,Harry Style's ,Pop,No,,,
25-Mar,"Finland's Apocalyptica has rescheduled all of the U.S. and Canada dates on their 2020 Cell:0 World Tour.Â Tickets and VIP packages will be honored on the new, rescheduled dates. Head to their site for more info.",R,Apocalyptica,Rock,Yes,,,
24-Mar,"Camila Cabello has postponed herÂ Romance tour, though she has yet to work out rescheduled dates.Â ""I promise I'll see you and cuddle your faces off when it's safe and this all passes,"" she noted, adding that she was working on a tour that was ""really magical and special.""",P,Camila Cabello,Pop ,Yes,,,
24-Mar,"International Jazz Day 2020 is canceled. Scheduled to take place in Cape Town and other cities in South Africa in the last week of April, the jazz fest could continue as aÂ free live stream worldwide, organizers say.",C,International Jazz Day,Festival,No,,,
24-Mar,"Garth Brooks has rescheduled his upcoming stadium concerts.Â ""Like so many people right now, IÂ just want to get back to what IÂ do. Knowing these shows are eventually going to happen makes me happy,"" he said in a statement.Â The Bank of America Stadium show in Charlotte, NC, scheduled for May 2 will now be June 13. The Paul Brown Stadium show in Cincinnati, OH,Â scheduled for May 16 will now be June 27.",R,Garth Brooks,Country,Yes,,,
24-Mar,"Josh Groban's Great Big Radio City Show, scheduled to take place at Radio City Music Hall onÂ Saturday, April 18, 2020Â has been postponed toÂ Monday, October 5, 2020. Tickets for the April 18 show will be valid for the performance on October 5.",P,Josh Groban,Pop,Yes,,,
24-Mar,"Firefly Festival has been cancelled. ""We take the safety and health of our fans, staff and community seriously and we urge everyone to follow the guidelines and protocols put forth by public health officials,"" organizers said in a statement.",C,Firefly Festival,Festival,Yes,,,
24-Mar,"Milwaukee's Summerfest 2020 has announced they are moving to new dates: September 3:5, 10:12 and 17:19, 2020. ""The new dates provide the best possible option to deliver the Summerfest experience our fans and sponsors have grown to love; we are doing everything possible to continue a tradition which spans five decades,"" organizers said in a statement.",R,Summerfest,Festival,Yes,,,
24-Mar,"Australian indie:rock trio DMA'sÂ have pushed back the release of their their new album, The Glow, citing ""everything thatâ€™s going on in the world."" The LP was set for release on April 24 but will now drop July 10. It's the followup to 2018's For Now, which debuted at No.7 on the ARIA Chart and collected three nominations at the ARIA Awards.",,,,,,,
24-Mar,"The Great Escape U.K. 2020 festival is canceled. Featuring more than 400 performers, the event ""will no longer be taking place this year,"" organizers explain. ""Weâ€™ve not taken this decision lightly. Taking into account that we are only a few weeks out from the event, and the current status of things, this was the best decision for fans, artists, staff and the community."" The industry gathering was due to take place May 13:16 in Brighton, England. Looking ahead, the show is locked:in for May 12: 15, 2021.",C,The Great Escape Festival,Festival,No,,,
23-Mar,"Dua Lipa moved the release date for her upcoming sophomore studio set,Â Future Nostalgia, up to this Friday (March 27). It was originally set for April 3.",,,,,,,
23-Mar,"MetallicaÂ is rescheduling their April tour dates and will no longer appear at the Danny Wimmer Presents spring festivals, due to the spreading coronavirus. They wereÂ scheduled to perform at DWP's Epicenter May 1:3 in North Carolina, Welcome to Rockville May 8:10 in Florida and Sonic Temple May 15:17 in Ohio.",R,Metallica,Rock,Yes,,,
23-Mar,Tanya TuckerÂ andÂ CMTÂ announced rescheduled tour dates for the spring leg of the 2020Â CMT Next Women of Country: Bring My Flowers Now tour to later in the year.,R,Tanya Tucker,Country,Yes,,,
23-Mar,"The annual dance music industry conference IMS Ibiza has been postponed due to the coronavirus. Originally set to take place May 20:22 in Ibiza, conference organizers have announced a virtual version of the event will take place instead in 2020. Dates are yet to be announced.",,,,,,,
23-Mar,"Disco Donnie Presents announced that Ubbi Dubbi festival, scheduled for April 18 and 19, has beenÂ postponed until Friday, October 30 & Saturday, October 31 at the Houston Raceway Park with an all new lineup.",P,Ubbi Dubbi festival,Festival Country,Yes,,,
23-Mar,"Zac Brown BandÂ announced that they are cancelling this spring's The Owl Tour, which had previously been postponed. ""We are deeply disappointed this has happened, touring is our life blood and performing live for our fans is the best part of this job,"" the band said. ""Bottom line though, we want to take every precaution to put the health and safety of our fans and crew first."" UPDATE: Â The band has now canceled all remaining 2020 dates, including this summer's Roar with the Lions Tour, which was slated to begin May 24.",C,Zac Brown Band,Country,Yes,,,
23-Mar,"29th annual Detroit Music Awards are moving from a live presentation April 19 at the Fillmore Detroit to an online streaming ceremony at 8 p.m. that day, with award presentations and video performances. More details to come.",,,,,,,
22-Mar,"Gibson operations in the U.S. are temporarily closed. Based in Nashville, TN, the instrument maker reveals its facilities have not been in operation since Friday and will remain closed until further notice. ""With this current, and uncertain situation,"" a statement reads, ""Gibsonâ€™s leadership has also decided to provide all Gibson hourly factory workers with a $1,000 Gibson support payment to help get the team through this difficult time."" Some 300 staffers are reportedly affected.",,,,,,,
20-Mar,"Little Big Town has postponed The Nightfall Tour for later dates in August to October and January 2021. ""This tour means everything to us, but amid the health concerns surrounding our country, we feel like the only thing to do to protect the health of our fans, band, crew, and families is to postpone the upcoming spring shows,"" the country music group said in a statement. ""We are already counting down the weeks to be back out there with you all, celebrating life, love, music, and health with a new and different appreciation. Previously purchased tickets will be honored for all rescheduled dates. Stay safe and healthy and try to enjoy this unexpected time to spend with your loved ones.""",P,Little Big Town,Country,Yes,,,
20-Mar,"The Melbourne and Sydney seasons of Dolly Partonâ€™s hit musical 9 TO 5 is postponed. ""Once we receive government advice regarding the re:opening schedule for venues and new dates can be secured, existing ticket holders will be provided with an exclusive first option to secure the best seats,"" reads a statement from organizers.",,,,,,,
20-Mar,Iron Maiden postpone their May tour of Australia and New Zealand.,P,Iron Maiden,Rock,No,,,
20-Mar,"Australia's CMC Rocks QLD is officially canceled. ""Despite our very best efforts to move CMC Rocks QLD to later in the year, we have had to make the incredibly difficult decision to cancel the 2020 event altogether,"" reads a statement fromÂ Potts Entertainment, Chugg Entertainment and Frontier Touring.Â Â Miranda Lambert was among the headliners for the country fest, which was to take place March 18:22 at Willowbank.",C,CMC Rocks QLD,Festival,No,,,
20-Mar,"Music Biz 2020 has been postponed due to uncertainty surrounding the global health crisis.The annual industry conference was due to take place this May in downtown Nashville, but will be pushed back to August.Â All conference registrations and hotel reservations will be honored and automatically transferred to the new dates, now set for Aug. 16 through Aug. 19, 2020.",,,,,,,
20-Mar,"BMI has postponed both its Pop Awards and Film, TV & Visual Media Awards, which had been slated to take place in Los Angeles in May. The events will be rescheduled at a later date.",,,,,,,
20-Mar,"The 2020 Beale Street Music Festival in Memphis, Tenn., which was scheduled for May, has been postponed.Â The festival will now be held Oct. 16 through Oct. 18.",P,Beale Street Music Festival,Festival,Yes,,,
19-Mar,"Alicia Keys announced that her More Myself tour andÂ Alicia album will be postponed, but her upcoming book will still launch on March 31. ""Everyoneâ€™s health and safety is the #1 priority!"" she tweeted. ""Thank u for ur deep love, Iâ€™ll let u know about new dates soon. Stay powerful! I adore u.""",P,Alicia Keys,Rap/R&B,Yes,,,
19-Mar,"Chris Tomlinâ€™s fourth annual ""Good Friday Nashville,"" originally scheduled for Friday, April 10 at Bridgestone Arena, has been postponed.",P,Chris Tomlin,Christian,Yes,,,
19-Mar,Brooks & Dunn announced today that theirÂ Reboot 2020 tourÂ is rescheduled for this fall,R,Brooks & Dunn,Country,Yes,,,
19-Mar,"The National ParksÂ have announced a rescheduled date for their upcomingÂ Superbloom Music Festival.Â Still set to occur atÂ Utah's OC Tanner Amphitheater, the festival will now take placeÂ Saturday, August 15thÂ with its lineup fully intact.",R,Superbloom Music Festival,Festival,Yes,,,
19-Mar,"The Australasian pop spectacular So Pop 2020 has been canceled. The six:date arena tour had a lineup featuring Pussycat Dolls, Steps, Jesse McCartney, Smash Mouth and more.Â â€œIt is with a heavy heart that Frontier Touring and Arena Touring announce that So Pop 2020 will no longer be taking place in Australia and New Zealand this April and May,â€ a statement read.",C,So Pop 2020,Pop,No,,,
18-Mar,"The Sydney edition ofÂ FastForward 2020 is scrapped. ""Following large scale event cancellations in Australia, and around the world, we're sad to say that FastForward will not be taking place in Sydney in April,"" explains FFWD founder Chris Carey. The conference was due to take place at Studios 301 on April 30- May 1. ""We are working on a plan to bring FastForward over again in 2020,"" Carey adds.",C,,,,,,
18-Mar,"Jerry Seinfeld announced that his April 3 and 4 shows at The Colosseum in Las Vegas has been postponed. ""Iâ€™m sorry that I wonâ€™t be able to play at The Colosseum at Caesars Palace, my Las Vegas home, in April, but this is the right move in order to keep everyone as safe as we can,"" he tweeted.",,,,,,,
18-Mar,"Organizers for Northern California's BottleRock festival have announced the event will take place in October after ""careful consideration and in coordination with our local and state authorities.""Â Instead of May 22:24, BottleRock Napa is now scheduled to take place from Oct. 2:4 at the Napa Valley Expo.",R,Bottlerock Festival,Festival,Yes,,,
18-Mar,"Tool is postponing a chunk of their North American tour dates, with their April 16 through May 5 shows now on hold. The band ""wish everyone well during this difficult period and hope to see everyone again very soon,"" they wrote on the Instagram post announcing the news. Earlier in the week, they postponed the March 14 and 16 shows.",P,Tool,Rock,Yes,,,
18-Mar,"Car Seat Headrest is rescheduling their MASS MoCA performance to September 4. ""We honestly don't know yet whether later dates will be affected as well,"" their statement read. ""However, we WILL make sure that anyone who buys a ticket will get a special experience with us & our music this year, in one form or another.""",R,Car Seat Headrest,Rock,Yes,,,
18-Mar,"The Pussycat DollsÂ postponed their UK and Ireland tour. ""We're heartbroken that we will not be able to perform next month, but the safety and health of our fans is of course our No. 1 priority,"" the girl group wrote on Twitter. ""We look forward to seeing you all at the rescheduled dates in October. In the meantime please stay safe and look after yourselves."" The new tour dates will be held from Oct. 19 to Nov. 2.",P,The Pussycat Dolls,Pop,No,,,
18-Mar,"Bonnaroo will be rescheduled to Sept 24:27, 2020.",R,Bonnaroo,Festival,Yes,,,
18-Mar,"Glastonbury Festival has been canceled.Â ""Clearly this was not a course of action we hoped to take for our 50th anniversary event, but following the new government measures announced this week: and in times of such unprecedented uncertainty: this is now our only viable option,"" festival organizers said in a statement.",C,Glastonbury Festival,Festival,No,,,
18-Mar,The 2020 Eurovision song contest has been cancelled. The eventâ€™s 65th edition was to take place in Rotterdam from May 12:16 and be broadcast live globally.,,,,,,,
18-Mar,"Melbourne International Jazz Festival 2020 has been canceled. ""After much deliberation and heartbreak, it is clear that we must cancel our plans as they currently stand for the festival this year,"" said MIJF chair John Stanhope. ""The festival is investigating alternative performance opportunities for artists throughout the year alongside streaming and broadcast possibilities. Our priority and focus right now is to update our audiences and liaise with our artists as well as our festival partners and venues."" The event was due to be heldÂ MayÂ 29 to June 7.",C,Melbourne International Jazz Festival,Festival,No,,,
17-Mar,"Australia's live industry is on the ""brink of collapse"" and will require emergency government funding for the months ahead, trade body Live Performance Australia warns.",,,,,,,
17-Mar,"New Orleans Jazz & Heritage festival, scheduled to take place April 23:26 and April 30: May 3, will now be moved to the fall.",P,New Orleans Jazz & Heritage festival,Festival,Yes,,,
17-Mar,"Indigenous Australian artist Thelma Plum tests positive for COVID:19. Plum says she's ""feeling good,"" but she'll be kept in a Brisbane hospital until Friday, or later.",,,,,,,
17-Mar,"The Monster Energy Up & Up Festival has announced that it will be postponing its eight festival events with TroyBoi this spring. According to the statement,Â Miami:Ohio, UNCW, Penn State and Virginia Tech will likely be rescheduled for late summer. SJSU, University of Oregon, Oregon State University and Washington State University will likely be rescheduled for early fall.",p,Monster Energy Up & Up Festival,Festival,Yes,,,
17-Mar,"Rhymesayers Entertainment announced the postponement ofÂ tours and shows for Brother Ali, Sa:Roc, deM atlaS and Nikki Jean.Â Grievesâ€™ March through April Cheers Tour has officially been cancelled and Grievesâ€™ Boomerang Effect Festival, including Sa:Roc, on May 1 in Fort Collins, CO has been rescheduled for October 24, 2020.",P,Rhymesayers Entertainment,Rap/R&B,Yes,,,
17-Mar,ZZ Top announced that their March 20: 28 residency at The Venetian Theatre inside The Venetian Las Vegas has been rescheduled out of an abundance of caution.,R,ZZ Top,Rock,Yes,,,
17-Mar,"The Rolling Stones announced that their 15:date No Filter Tour has been postponed. ""We're hugely disappointed to have to postpone the tour,"" the band said in a statement. ""We are sorry to all the fans who were looking forward to it as much as we were, but the health and safety of everyone has to take priority. We will all get through this together:: and weâ€™ll see you very soon.â€",P,The Rolling Stones,Rock,Yes,,,
17-Mar,The 20th edition of Australia's Splendour in the Grass festival is postponed from July to October.,P,Splendour in the Grass festival,Festival,No,,,
17-Mar,"ZZ Top's March 20:28 Las Vegas residency has been rescheduled ""out of an abundance of caution,"" a statement from the group read. ""We will make a return engagement at The Venetian with specific dates to be announced soon. Thank you for understanding and look forward to seeing you all in Vegas soon!""",R,ZZ Top,Rock,Yes,,,
16-Mar,"Guns Nâ€™ Roses postponed all of their upcoming South American tour dates. Previously, just the Costa Rican date was rescheduled.",P,Guns and Roses,Rock,No,,,
16-Mar,"Rock The Oceanâ€™s Tortuga Music Festival is now rescheduled for Oct 2:4, 2020 atÂ Fort Lauderdale Beach Park, FL.",R,Tortuga Music Festival,Festival,Yes,,,
16-Mar,"The Hot Country Knights are postponing theirÂ 2020 One Knight Stand tour, which was set to launch next month in California. Refunds for all dates are available at point of purchase.",P,The Hot Country Knights,Country,Yes,,,
16-Mar,"ASCAP canceled their Screen Music Awards, Pop Music Awards and Latin Music Awards, which were scheduled to take place in April and May in Los Angeles.",,,,,,,
16-Mar,"Vanessa Carlton is rescheduling all of herÂ Love Is An Art tourÂ (both the first and second legs) to help limit the instances of group gatherings.Â ""I will not put any of you in a position where you may become sick, so we must postpone our tour,"" she said in a statement. ""But, we are going to do all we can to reschedule these dates, and when we do we'll bring you an epic show!Â Meanwhile wash your hands 9000 times a day. Thank you for your understanding and your support:and be safe!""",R,Vanessa Carlton,Pop,Yes,,,
16-Mar,"Just one week into his first:ever solo world tour, Louis Tomlinson canceled the remainder of the UK leg amid coronavirus concerns.Â ""I'm sad to say that we have made the decision to reschedule my UK Tour that was due to start next week,"" Tomlinson tweeted. ""We are working with the promoter and venues to make new plans as soon as possible but these things are taking a little longer at the moment.""",C,Louis Tomlinson,Pop,No,,,
16-Mar,Elton John has postponed hisÂ Farewell Yellow Brick Road tour:: shows from March 26:May 2 have been pushed to 2021.,P,Elton John,Pop,Yes,,,
16-Mar,Frontman Dave Grohl announced that the Foo Fighters are postponing their Van Tour 2020. A few dates have already been rescheduled to later this year.,P,Foo Fighters,Rock,Yes,,,
16-Mar,"Alanis Morissette will reschedule tour dates inÂ Japan, Manila, Australia and New Zealand.",R,Alanis Morissette,Rock,No,,,
16-Mar,David Lee Roth has postponed the last six shows of his Las Vegas residency.,P,David Lee Roth,Rock,Yes,,,
16-Mar,Marina has cancelled her April tour dates in the U.S.,C,Marina,Pop,Yes,,,
15-Mar,"The 2020 iHeartRadio Music Awards, originally scheduled to air on Fox on March 29 from the Shrine Auditorium in Los Angeles, have been postponed until a later date due to a mandatory ban on large gatherings in the city.",,,,,,,
15-Mar,"The 55th annual Academy of Country Music Awards, which were scheduled to take place on April 5 at the MGM Grand Garden Arena in Las Vegas, have been postponed to September (with a new date still to be confirmed).",,,,,,,
15-Mar,"Metal band Eyehategod cancel the final three dates of their European tour, tossing dates in Kiev, St. Petersburg and Moscow, Russia. ""We have no apology big enough & we are very sorry to our Ukrainian and Russian fans, but the possibility of being kept from returning home for 30 days would not have been financially possible for the band,"" they wrote.",C,Eyehategod,Rock,No,,,
14-Mar,"Long Beach Pride will postpone its festival and parade-- which were set to take place May 15-17-- following discussions with local officials. ""It is with an abundance of caution that the Long Beach Pride Board has decided to postpone the 2020 Festival and Parade,"" said Denise Newman, President of Long Beach Pride, said in a statement. ""We look forward to celebrating with our amazing LGBTQ+ and ally family, neighbors and friends at a later date, and encourage everyone to celebrate their Pride each and every day.""",P,Long Beach Pride,Festival,Yes,,,
13-Mar,"Kelly ClarksonÂ was scheduled to kick off her 2020 Las Vegas residency at the Zappos Theater in Planet Hollywood on April 1, but as the coronavirus continues to spread, the songstress has postponed her shows to July.",P,Kelly Clarkson,Pop,Yes,,,
13-Mar,"Allie X has postponed her upcoming tour. ""Like so many other musicians, Iâ€™m very sad to announce that I am postponing my upcoming North American Tour. I'm truly so disappointed,"" the singer said in a statement. ""Iâ€™ve been so eager to get out on the road and sing these songs for you. But, given the current state of affairs surrounding COVID:19, I feel it is the right decision for the health and well being of all. Please wait for me. I am working on rescheduling these dates and am looking forward to rejoicing, crying, dancing, screaming and laughing with you. You all mean so much to me. Take care of yourselves and each other.""",P,Allie X,Pop,Yes,,,
13-Mar,"Texas Music Revolution, a two:day concert scheduled for March 20 and 21 in Plano, Texas, has been postponed.",P,Texas Music Revolution,Festival,Yes,,,
13-Mar,"The Jonas Brothers canceled their April 1: 18 Las Vegas residency at Park MGM.Â ""We love you guys and we are praying for everyoneâ€™s safety and wellness. Weâ€™ll see you soon,"" they captioned the statement.",C,The Jonas Brothers,Pop,Yes,,,
13-Mar,"The Grand Ole Opry radio show will pause performances that include a live audience through April 4. ""The Grand Ole Opry stands by the motto of the Circle canâ€™t be broken,"" the announcement read. The Saturday Night Grand Ole Opry Show will return to its original format as a live radio broadcast without a live audience.",,,,,,,
13-Mar,"Sturgill Simpson announced that he is rescheduling a number of March and April dates for his AÂ Good Lookâ€™n Tour. However, the Hampton, Virgina;Â Toronto,Â Ontario; Philadelphia, Pennsylvania; Minneapolis and Chicago shows are cancelled ""due to unavoidable scheduling conflicts.""",R,Sturgill Simpson,Country,Yes,,,
13-Mar,"Trevor Noah postponed his tour dates for the next month. ""Looking forward to seeing you all on a happier and healthier note!"" he wrote.",P,,,,,,
13-Mar,"The Country Music Hall of Fame and Museum announced that the museum, Hatch Show Print, Historic RCA Studio B and the CMA Theater at the Country Music Hall of Fame and Museum will close to the public for the rest of March.",,,,,,,
13-Mar,National SawdustÂ has suspended all programmingÂ beginning March 13 through the end of April.,,,,,,,
13-Mar,OG shock rocker Alice CooperÂ postponed his planned spring 2020 headlining North American tour that was slated to run from March 31:April 22; the tour will be rescheduled for the fall with an itinerary announced soon.,P,Alice Cooper,Rock,Yes,,,
13-Mar,"Pop punkers The Dollyrots postpone their spring tour, assuring fans they'll be back on the road as soon as possible. ""Anyone whoâ€™s been to one of our shows knows that we make every effort to meet our fans after the set, to hang out, to take silly selfies and give sweaty hugs,"" they wrote. ""We consider tons of yâ€™all friends and that connection makes touring the best part of being in a band. So the last thing weâ€™d want is to push forward with these dates and find out someone contracted this at one of our shows, got it from one of us, or inadvertently passed it on to us. Also, the fact we tour with our kids poses a whole extra level of concern, we need to protect them from exposure and possibly becoming carriers themselves."" Click here to see affected dates.",P,The Dollyrots,Pop,Yes,,,
13-Mar,"J. Cole's Dreamville Festival, initially slated for April 4 in Raleigh, NC,Â has rescheduled its second annual event for Aug. 29.",R,J. Cole,Rap/R&B,Yes,,,
13-Mar,"Thom Yorke postponed the North American leg of his Tomorrow's Modern Boxes Tour. He has not announced reschedule dates, but noted they would be this year.",P,Thom Yorke,Rock,Yes,,,
13-Mar,"Third Eye Blind rescheduled the second half of their tour in support of new album Screamer, and also shared the new dates, which resume May 31 in Los Angeles.",R,Third Eye Blind,Rock,Yes,,,
13-Mar,"David Archuleta postponed his OK, All Right 2020 Tour, but hopes to reschedule for later in the year. ""Â You are all like family to me and so your health and safety are amongst the top priorities for me,"" he wrote on Instagram.",P,David Archuleta,Pop,Yes,,,
13-Mar,The Metropolitan Opera and Carnegie Hall orchestras canceled all rehearsals and performances through March 31.,,,,,,,
13-Mar,Celine Dion postponed the March and April dates of her Courage World Tour in North America. New dates are yet to be announced.,P,Celine Dion,Pop,Yes,,,
13-Mar,"Wilco postpone upcoming dates in Calgary, Missoula, Salt Lake City, Seattle, Vancouver, Portland, Las Vegas and California. The band said they are making every effort to reschedule the dates for later in the year.",P,Wilco,Rock,Yes,,,
13-Mar,"Australia's government applies a ban to public gatherings of 500 or more people, with effect from Monday, March 16. The decision triggers a string of cancelations and postponements. The CMC Rocks QLD festival is scrapped. Frontier Touring and Chugg Entertainment list at least 17 shows which now won't go ahead as planned.",,,,,,,
13-Mar,"Following the abrupt cancellation of the Australian F1 Grand Prix in Melbourne, a special one:off concert headlined by Robbie Williams is scrapped.",C,Robbie Williams,Pop,No,,,
13-Mar,"The hard rock and heavy metal Download Festival was due to take place next week in Melbourne (March 20) and Sydney (March 21). However, when My Chemical Romance canceled due to the ""current global situation,"" Live Nation called off the 2020 shows.",C,Download Festival,Festival,No,,,
