"date","text"
"March 26","The APRA Music Awards will go with a ""virtual"" format this year. Originally slated to take place April 28 at the International Convention Centre in Sydney, a different kind of ceremony will instead be streamed on May 26 from an as:yet:unannounced venue. ""It’s important to celebrate and acknowledge the success and artistry of our songwriters whose work enriches our lives,"" comments songwriter and APRA board chair Jenny Morris. ""They will be the ones who help us get through this time.”"
"March 26","Governors Ball 2020 is canceled. Tame Impala, Flume and Vampire Weekend were set to headline the New York festival."
"March 25","Bon Iver have rescheduled their spring European tour to January 2021. The only date that has been fully canceled is the April 27 show in Birmingham."
"March 25","Harry Styles' Love On Love tour of the U.K. and Europe is pushed back to 2021 for ""obvious reasons,"" the British pop star explains. ""Anyone who knows me, knows that performing has always been my favorite part of working in music,"" he tweets. ""However, during times like these, the safety and protection of touring crew, fans, and everyone else around the world is an immediate priority."" New dates are announced from February 2021."
"March 25","Finland's Apocalyptica has rescheduled all of the U.S. and Canada dates on their 2020 Cell:0 World Tour. Tickets and VIP packages will be honored on the new, rescheduled dates. Head to their site for more info."
"March 24","Camila Cabello has postponed her Romance tour, though she has yet to work out rescheduled dates. ""I promise I'll see you and cuddle your faces off when it's safe and this all passes,"" she noted, adding that she was working on a tour that was ""really magical and special."""
"March 24","International Jazz Day 2020 is canceled. Scheduled to take place in Cape Town and other cities in South Africa in the last week of April, the jazz fest could continue as a free live stream worldwide, organizers say."
"March 24","Garth Brooks has rescheduled his upcoming stadium concerts.  ""Like so many people right now, I just want to get back to what I do. Knowing these shows are eventually going to happen makes me happy,"" he said in a statement. The Bank of America Stadium show in Charlotte, NC, scheduled for May 2 will now be June 13. The Paul Brown Stadium show in Cincinnati, OH,  scheduled for May 16 will now be June 27."
"March 24","Josh Groban's Great Big Radio City Show, scheduled to take place at Radio City Music Hall on Saturday, April 18, 2020 has been postponed to Monday, October 5, 2020. Tickets for the April 18 show will be valid for the performance on October 5."
"March 24","Firefly Festival has been cancelled. ""We take the safety and health of our fans, staff and community seriously and we urge everyone to follow the guidelines and protocols put forth by public health officials,"" organizers said in a statement."
"March 24","Milwaukee's Summerfest 2020 has announced they are moving to new dates: September 3:5, 10:12 and 17:19, 2020. ""The new dates provide the best possible option to deliver the Summerfest experience our fans and sponsors have grown to love; we are doing everything possible to continue a tradition which spans five decades,"" organizers said in a statement."
"March 24","Australian indie:rock trio DMA's have pushed back the release of their their new album, The Glow, citing ""everything that’s going on in the world."" The LP was set for release on April 24 but will now drop July 10. It's the followup to 2018's For Now, which debuted at No.7 on the ARIA Chart and collected three nominations at the ARIA Awards."
"March 24","The Great Escape U.K. 2020 festival is canceled. Featuring more than 400 performers, the event ""will no longer be taking place this year,"" organizers explain. ""We’ve not taken this decision lightly. Taking into account that we are only a few weeks out from the event, and the current status of things, this was the best decision for fans, artists, staff and the community."" The industry gathering was due to take place May 13:16 in Brighton, England. Looking ahead, the show is locked:in for May 12: 15, 2021."
"March 23","Dua Lipa moved the release date for her upcoming sophomore studio set, Future Nostalgia, up to this Friday (March 27). It was originally set for April 3."
"March 23","Metallica is rescheduling their April tour dates and will no longer appear at the Danny Wimmer Presents spring festivals, due to the spreading coronavirus. They were scheduled to perform at DWP's Epicenter May 1:3 in North Carolina, Welcome to Rockville May 8:10 in Florida and Sonic Temple May 15:17 in Ohio."
"March 23","Tanya Tucker and CMT announced rescheduled tour dates for the spring leg of the 2020 CMT Next Women of Country: Bring My Flowers Now tour to later in the year."
"March 23","The annual dance music industry conference IMS Ibiza has been postponed due to the coronavirus. Originally set to take place May 20:22 in Ibiza, conference organizers have announced a virtual version of the event will take place instead in 2020. Dates are yet to be announced."
"March 23","Disco Donnie Presents announced that Ubbi Dubbi festival, scheduled for April 18 and 19, has been postponed until Friday, October 30 & Saturday, October 31 at the Houston Raceway Park with an all new lineup."
"March 23","Zac Brown Band announced that they are cancelling this spring's The Owl Tour, which had previously been postponed. ""We are deeply disappointed this has happened, touring is our life blood and performing live for our fans is the best part of this job,"" the band said. ""Bottom line though, we want to take every precaution to put the health and safety of our fans and crew first."" UPDATE:  The band has now canceled all remaining 2020 dates, including this summer's Roar with the Lions Tour, which was slated to begin May 24."
"March 23","29th annual Detroit Music Awards are moving from a live presentation April 19 at the Fillmore Detroit to an online streaming ceremony at 8 p.m. that day, with award presentations and video performances. More details to come."
"March 22","Gibson operations in the U.S. are temporarily closed. Based in Nashville, TN, the instrument maker reveals its facilities have not been in operation since Friday and will remain closed until further notice. ""With this current, and uncertain situation,"" a statement reads, ""Gibson’s leadership has also decided to provide all Gibson hourly factory workers with a $1,000 Gibson support payment to help get the team through this difficult time."" Some 300 staffers are reportedly affected."
"March 20","Little Big Town has postponed The Nightfall Tour for later dates in August to October and January 2021. ""This tour means everything to us, but amid the health concerns surrounding our country, we feel like the only thing to do to protect the health of our fans, band, crew, and families is to postpone the upcoming spring shows,"" the country music group said in a statement. ""We are already counting down the weeks to be back out there with you all, celebrating life, love, music, and health with a new and different appreciation. Previously purchased tickets will be honored for all rescheduled dates. Stay safe and healthy and try to enjoy this unexpected time to spend with your loved ones."""
"March 20","The Melbourne and Sydney seasons of Dolly Parton’s hit musical 9 TO 5 is postponed. ""Once we receive government advice regarding the re:opening schedule for venues and new dates can be secured, existing ticket holders will be provided with an exclusive first option to secure the best seats,"" reads a statement from organizers."
"March 20","Iron Maiden postpone their May tour of Australia and New Zealand."
"March 20","Australia's CMC Rocks QLD is officially canceled. ""Despite our very best efforts to move CMC Rocks QLD to later in the year, we have had to make the incredibly difficult decision to cancel the 2020 event altogether,"" reads a statement from Potts Entertainment, Chugg Entertainment and Frontier Touring.  Miranda Lambert was among the headliners for the country fest, which was to take place March 18:22 at Willowbank."
"March 20","Music Biz 2020 has been postponed due to uncertainty surrounding the global health crisis.The annual industry conference was due to take place this May in downtown Nashville, but will be pushed back to August. All conference registrations and hotel reservations will be honored and automatically transferred to the new dates, now set for Aug. 16 through Aug. 19, 2020."
"March 20","BMI has postponed both its Pop Awards and Film, TV & Visual Media Awards, which had been slated to take place in Los Angeles in May. The events will be rescheduled at a later date."
"March 20","The 2020 Beale Street Music Festival in Memphis, Tenn., which was scheduled for May, has been postponed. The festival will now be held Oct. 16 through Oct. 18."
"March 19","Alicia Keys announced that her More Myself tour and Alicia album will be postponed, but her upcoming book will still launch on March 31. ""Everyone’s health and safety is the #1 priority!"" she tweeted. ""Thank u for ur deep love, I’ll let u know about new dates soon. Stay powerful! I adore u."""
"March 19","Chris Tomlin’s fourth annual ""Good Friday Nashville,"" originally scheduled for Friday, April 10 at Bridgestone Arena, has been postponed."
"March 19","Brooks & Dunn announced today that their Reboot 2020 tour is rescheduled for this fall"
"March 19","The National Parks have announced a rescheduled date for their upcoming Superbloom Music Festival. Still set to occur at Utah's OC Tanner Amphitheater, the festival will now take place Saturday, August 15th with its lineup fully intact."
"March 19","The Australasian pop spectacular So Pop 2020 has been canceled. The six:date arena tour had a lineup featuring Pussycat Dolls, Steps, Jesse McCartney, Smash Mouth and more. “It is with a heavy heart that Frontier Touring and Arena Touring announce that So Pop 2020 will no longer be taking place in Australia and New Zealand this April and May,” a statement read."
"March 18","The Sydney edition of FastForward 2020 is scrapped. ""Following large scale event cancellations in Australia, and around the world, we're sad to say that FastForward will not be taking place in Sydney in April,"" explains FFWD founder Chris Carey. The conference was due to take place at Studios 301 on April 30- May 1. ""We are working on a plan to bring FastForward over again in 2020,"" Carey adds."
"March 18","Jerry Seinfeld announced that his April 3 and 4 shows at The Colosseum in Las Vegas has been postponed. ""I’m sorry that I won’t be able to play at The Colosseum at Caesars Palace, my Las Vegas home, in April, but this is the right move in order to keep everyone as safe as we can,"" he tweeted."
"March 18","Organizers for Northern California's BottleRock festival have announced the event will take place in October after ""careful consideration and in coordination with our local and state authorities."" Instead of May 22:24, BottleRock Napa is now scheduled to take place from Oct. 2:4 at the Napa Valley Expo."
"March 18","Tool is postponing a chunk of their North American tour dates, with their April 16 through May 5 shows now on hold. The band ""wish everyone well during this difficult period and hope to see everyone again very soon,"" they wrote on the Instagram post announcing the news. Earlier in the week, they postponed the March 14 and 16 shows."
"March 18","Car Seat Headrest is rescheduling their MASS MoCA performance to September 4. ""We honestly don't know yet whether later dates will be affected as well,"" their statement read. ""However, we WILL make sure that anyone who buys a ticket will get a special experience with us & our music this year, in one form or another."""
"March 18","The Pussycat Dolls postponed their UK and Ireland tour. ""We're heartbroken that we will not be able to perform next month, but the safety and health of our fans is of course our No. 1 priority,"" the girl group wrote on Twitter. ""We look forward to seeing you all at the rescheduled dates in October. In the meantime please stay safe and look after yourselves."" The new tour dates will be held from Oct. 19 to Nov. 2."
"March 18","Bonnaroo will be rescheduled to Sept 24:27, 2020."
"March 18","Glastonbury Festival has been canceled. ""Clearly this was not a course of action we hoped to take for our 50th anniversary event, but following the new government measures announced this week: and in times of such unprecedented uncertainty: this is now our only viable option,"" festival organizers said in a statement."
"March 18","The 2020 Eurovision song contest has been cancelled. The event’s 65th edition was to take place in Rotterdam from May 12:16 and be broadcast live globally."
"March 18","Melbourne International Jazz Festival 2020 has been canceled. ""After much deliberation and heartbreak, it is clear that we must cancel our plans as they currently stand for the festival this year,"" said MIJF chair John Stanhope. ""The festival is investigating alternative performance opportunities for artists throughout the year alongside streaming and broadcast possibilities. Our priority and focus right now is to update our audiences and liaise with our artists as well as our festival partners and venues."" The event was due to be held May 29 to June 7."
"March 17","Australia's live industry is on the ""brink of collapse"" and will require emergency government funding for the months ahead, trade body Live Performance Australia warns."
"March 17","New Orleans Jazz & Heritage festival, scheduled to take place April 23:26 and April 30: May 3, will now be moved to the fall."
"March 17","Indigenous Australian artist Thelma Plum tests positive for COVID:19. Plum says she's ""feeling good,"" but she'll be kept in a Brisbane hospital until Friday, or later."
"March 17","The Monster Energy Up & Up Festival has announced that it will be postponing its eight festival events with TroyBoi this spring. According to the statement, Miami:Ohio, UNCW, Penn State and Virginia Tech will likely be rescheduled for late summer. SJSU, University of Oregon, Oregon State University and Washington State University will likely be rescheduled for early fall."
"March 17","Rhymesayers Entertainment announced the postponement of tours and shows for Brother Ali, Sa:Roc, deM atlaS and Nikki Jean. Grieves’ March through April Cheers Tour has officially been cancelled and Grieves’ Boomerang Effect Festival, including Sa:Roc, on May 1 in Fort Collins, CO has been rescheduled for October 24, 2020."
"March 17","ZZ Top announced that their March 20: 28 residency at The Venetian Theatre inside The Venetian Las Vegas has been rescheduled out of an abundance of caution."
"March 17","The Rolling Stones announced that their 15:date No Filter Tour has been postponed. ""We're hugely disappointed to have to postpone the tour,"" the band said in a statement. ""We are sorry to all the fans who were looking forward to it as much as we were, but the health and safety of everyone has to take priority. We will all get through this together:: and we’ll see you very soon.”"
"March 17","The 20th edition of Australia's Splendour in the Grass festival is postponed from July to October."
"March 17","ZZ Top's March 20:28 Las Vegas residency has been rescheduled ""out of an abundance of caution,"" a statement from the group read. ""We will make a return engagement at The Venetian with specific dates to be announced soon. Thank you for understanding and look forward to seeing you all in Vegas soon!"""
"March 16","Guns N’ Roses postponed all of their upcoming South American tour dates. Previously, just the Costa Rican date was rescheduled."
"March 16","Rock The Ocean’s Tortuga Music Festival is now rescheduled for Oct 2:4, 2020 at Fort Lauderdale Beach Park, FL."
"March 16","The Hot Country Knights are postponing their 2020 One Knight Stand tour, which was set to launch next month in California. Refunds for all dates are available at point of purchase."
"March 16","ASCAP canceled their Screen Music Awards, Pop Music Awards and Latin Music Awards, which were scheduled to take place in April and May in Los Angeles."
"March 16","Vanessa Carlton is rescheduling all of her Love Is An Art tour (both the first and second legs) to help limit the instances of group gatherings. ""I will not put any of you in a position where you may become sick, so we must postpone our tour,"" she said in a statement. ""But, we are going to do all we can to reschedule these dates, and when we do we'll bring you an epic show!  Meanwhile wash your hands 9000 times a day. Thank you for your understanding and your support:and be safe!"""
"March 16","Just one week into his first:ever solo world tour, Louis Tomlinson canceled the remainder of the UK leg amid coronavirus concerns. ""I'm sad to say that we have made the decision to reschedule my UK Tour that was due to start next week,"" Tomlinson tweeted. ""We are working with the promoter and venues to make new plans as soon as possible but these things are taking a little longer at the moment."""
"March 16","Elton John has postponed his Farewell Yellow Brick Road tour:: shows from March 26:May 2 have been pushed to 2021."
"March 16","Frontman Dave Grohl announced that the Foo Fighters are postponing their Van Tour 2020. A few dates have already been rescheduled to later this year."
"March 16","Alanis Morissette will reschedule tour dates in Japan, Manila, Australia and New Zealand."
"March 16","David Lee Roth has postponed the last six shows of his Las Vegas residency."
"March 16","Marina has cancelled her April tour dates in the U.S."
"March 15","The 2020 iHeartRadio Music Awards, originally scheduled to air on Fox on March 29 from the Shrine Auditorium in Los Angeles, have been postponed until a later date due to a mandatory ban on large gatherings in the city."
"March 15","The 55th annual Academy of Country Music Awards, which were scheduled to take place on April 5 at the MGM Grand Garden Arena in Las Vegas, have been postponed to September (with a new date still to be confirmed)."
"March 15","Metal band Eyehategod cancel the final three dates of their European tour, tossing dates in Kiev, St. Petersburg and Moscow, Russia. ""We have no apology big enough & we are very sorry to our Ukrainian and Russian fans, but the possibility of being kept from returning home for 30 days would not have been financially possible for the band,"" they wrote."
"March 14","Long Beach Pride will postpone its festival and parade-- which were set to take place May 15-17-- following discussions with local officials. ""It is with an abundance of caution that the Long Beach Pride Board has decided to postpone the 2020 Festival and Parade,"" said Denise Newman, President of Long Beach Pride, said in a statement. ""We look forward to celebrating with our amazing LGBTQ+ and ally family, neighbors and friends at a later date, and encourage everyone to celebrate their Pride each and every day."""
"March 13","Kelly Clarkson was scheduled to kick off her 2020 Las Vegas residency at the Zappos Theater in Planet Hollywood on April 1, but as the coronavirus continues to spread, the songstress has postponed her shows to July."
"March 13","Allie X has postponed her upcoming tour. ""Like so many other musicians, I’m very sad to announce that I am postponing my upcoming North American Tour. I'm truly so disappointed,"" the singer said in a statement. ""I’ve been so eager to get out on the road and sing these songs for you. But, given the current state of affairs surrounding COVID:19, I feel it is the right decision for the health and well being of all. Please wait for me. I am working on rescheduling these dates and am looking forward to rejoicing, crying, dancing, screaming and laughing with you. You all mean so much to me. Take care of yourselves and each other."""
"March 13","Texas Music Revolution, a two:day concert scheduled for March 20 and 21 in Plano, Texas, has been postponed."
"March 13","The Jonas Brothers canceled their April 1: 18 Las Vegas residency at Park MGM. ""We love you guys and we are praying for everyone’s safety and wellness. We’ll see you soon,"" they captioned the statement."
"March 13","The Grand Ole Opry radio show will pause performances that include a live audience through April 4. ""The Grand Ole Opry stands by the motto of the Circle can’t be broken,"" the announcement read. The Saturday Night Grand Ole Opry Show will return to its original format as a live radio broadcast without a live audience."
"March 13","Sturgill Simpson announced that he is rescheduling a number of March and April dates for his A Good Look’n Tour. However, the Hampton, Virgina;  Toronto, Ontario; Philadelphia, Pennsylvania; Minneapolis and Chicago shows are cancelled ""due to unavoidable scheduling conflicts."""
"March 13","Trevor Noah postponed his tour dates for the next month. ""Looking forward to seeing you all on a happier and healthier note!"" he wrote."
"March 13","The Country Music Hall of Fame and Museum announced that the museum, Hatch Show Print, Historic RCA Studio B and the CMA Theater at the Country Music Hall of Fame and Museum will close to the public for the rest of March."
"March 13","National Sawdust has suspended all programming beginning March 13 through the end of April."
"March 13","OG shock rocker Alice Cooper postponed his planned spring 2020 headlining North American tour that was slated to run from March 31:April 22; the tour will be rescheduled for the fall with an itinerary announced soon."
"March 13","Pop punkers The Dollyrots postpone their spring tour, assuring fans they'll be back on the road as soon as possible. ""Anyone who’s been to one of our shows knows that we make every effort to meet our fans after the set, to hang out, to take silly selfies and give sweaty hugs,"" they wrote. ""We consider tons of y’all friends and that connection makes touring the best part of being in a band. So the last thing we’d want is to push forward with these dates and find out someone contracted this at one of our shows, got it from one of us, or inadvertently passed it on to us. Also, the fact we tour with our kids poses a whole extra level of concern, we need to protect them from exposure and possibly becoming carriers themselves."" Click here to see affected dates."
"March 13","J. Cole's Dreamville Festival, initially slated for April 4 in Raleigh, NC, has rescheduled its second annual event for Aug. 29."
"March 13","Thom Yorke postponed the North American leg of his Tomorrow's Modern Boxes Tour. He has not announced reschedule dates, but noted they would be this year."
"March 13","Third Eye Blind rescheduled the second half of their tour in support of new album Screamer, and also shared the new dates, which resume May 31 in Los Angeles."
"March 13","David Archuleta postponed his OK, All Right 2020 Tour, but hopes to reschedule for later in the year. "" You are all like family to me and so your health and safety are amongst the top priorities for me,"" he wrote on Instagram."
"March 13","The Metropolitan Opera and Carnegie Hall orchestras canceled all rehearsals and performances through March 31."
"March 13","Celine Dion postponed the March and April dates of her Courage World Tour in North America. New dates are yet to be announced."
"March 13","Wilco postpone upcoming dates in Calgary, Missoula, Salt Lake City, Seattle, Vancouver, Portland, Las Vegas and California. The band said they are making every effort to reschedule the dates for later in the year."
"March 13","Australia's government applies a ban to public gatherings of 500 or more people, with effect from Monday, March 16. The decision triggers a string of cancelations and postponements. The CMC Rocks QLD festival is scrapped. Frontier Touring and Chugg Entertainment list at least 17 shows which now won't go ahead as planned."
"March 13","Following the abrupt cancellation of the Australian F1 Grand Prix in Melbourne, a special one:off concert headlined by Robbie Williams is scrapped."
"March 13","The hard rock and heavy metal Download Festival was due to take place next week in Melbourne (March 20) and Sydney (March 21). However, when My Chemical Romance canceled due to the ""current global situation,"" Live Nation called off the 2020 shows."
"March 12","Chris Stapleton reschedules a series of All-American Road Show dates in March, including Thursday's (March 12) gig at the Frank Erwin Center in Austin, Texas, as well as Saturday's (March 14) gig at Globe Life Field in Arlington, Texas, with opener Willie Nelson and March 20 and 21 gigs in Biloxi and Birmingham. ""The health and well-being of our families & communities is our number one priority,"" Stapleton tweeted."
"March 12","Béla Fleck & The Flecktones are rescheduling the March and April dates on their 30th anniversary tour. At press time the group was slated to hit the road again beginning May 23."
"March 12","Tool postpone March 16 show in Salt Lake City, but say their March 14 show at the Ford Idaho Center in Boise is ""going on as planned."" In a statement, the group explained, ""We are continuing to monitor the evolving situation with Coronavirus and are in continual conversation with local promoters and venues. The health of our fans, bandmates, crew members and all of those that work in and around the venues is what we are focused on... As for the recently announced North American Spring tour, we are taking a day:to:day approach so please continue to monitor our website and social media channels for updates."""
"March 12","Tones and I announced that she was cutting short her European tour. ""It is with great regret that I must cut short the rest of my first tour over here, as the majority of the remaining shows have already been cancelled due to government policy and I do not want to subjugate anyone to making a choice between coming to see me and their health,"" she explained on Facebook."
"March 12","Promoter Goldenvoice is closing some of its venues through March 31 after California Gov. Gavin Newsom issued capacity limits at gatherings."
"March 12","Lionel Richie postpones his Friday (March 13) and Saturday (March 14) Las Vegas shows at the Encore Theater."
"March 12","Ms. Lauryn Hill postpones Thursday night's (March 12) show in Cleveland and Saturday's (March 14) gig in Upper Darby, Pennsylvania, due to crowd bans. The Cleveland show has been moved to Sept. 9 and a new date will be announced for the Upper Darby show at a later date."
"March 12","Decibel Magazine tour featuring extreme metal bands Mayhem, Abbath, Gatecreeper and Idle Hands, slated to kick off on Friday (March 13), has been canceled."
"March 12","Billie Eilish announced that her Where Do We Go? tour dates for the rest of the month have been postponed. ""I’m so sad to do this but we need to postpone these dates to keep everyone safe. We’ll let you know when they can be rescheduled. Please keep yourselves healthy. I love you,"" she wrote."
"March 12","Taylor Swift was scheduled to headline Capital One's JamFest in Atlanta on April 5, as part of the 2020 NCAA March Madness Music Festival. The event has been canceled, following news that the Division I men’s and women’s 2020 basketball tournament is also not happening."
"March 12","Nonprofit Christopher Street West announced on Thursday (March 12) that all events related to this year's LA Pride have been postponed."
"March 12","Amoeba Music canceled all in:store performances for the rest of March."
"March 12","The Grammy Museum made the decision to close through March 31, 2020, which includes all Public Programs, on:site Education Programs and guided tours."
"March 12","Harlem's Apollo Theater is canceling all public programs such as WOW: Women of the World Festival, Amateur Night at the Apollo, School Day Live, Historic Tours, Live Wire, Apollo Comedy Club,and Apollo Music Café events through April 4. Additionally,  the Apollo Theater and African Film Festival’s Africa Now! concert featuring Oumou Sangaré on Saturday, April 4  has been postponed until the fall."
"March 12","Reba McEntire shifted her spring tour to a summer kickoff, and will now begin on July 9 in Huntsville, Alabama. “For the safety of everyone, we have decided to postpone our new arena tour until July,” she said. “All tickets will be honored for the new dates. Most importantly, stay safe and take care of you and your loved ones. We’ll get through this together.”"
"March 12","Pussy Riot postponed their Santa Ana tour stop Thursday evening until the fall. ""dear all, due to safety & health reasons the show in SANTA ANA today is not happening, it's postponed and will happen in the fall, all tix will be valid,"" the punk bank tweeted. ""stay tuned for more news about the tour. stay safe!"""
"March 12","STYX is rescheduling concerts from March 13 to March 28."
"March 12","The Allman Betts Band canceled the rest of their scheduled shows in March. ""We are looking at options to reschedule dates and appreciate your patience while determining next steps. As soon as we have additional info to share, we will. Stay safe and follow the guidelines in your community:: we all need to do our part to help reduce the spread of COVID:19 and look out for each other,"" the band wrote in a statement."
"March 12","Hamilton performances at the Hollywood Pantages Theater for the remainder of March have been suspended by California Governor Gavin Newsom. Fans can still purchase tickets for future dates during the musical's scheduled run until Nov. 22."
"March 12","Blake Shelton postponed the final two weekends of his Friends and Heroes Tour 2020 until later unknown dates in spring 2021. ""Omaha, I’m here in your city with my friends and heroes and am ready to play a show for you, but for all the right reasons:: chiefly everyone’s safety and well:being:: we have to reschedule tonight and the rest of the tour,"" said Shelton in a press release on the night of his Omaha tour stop. ""Please take care of yourself and your loved ones. You can bet we’ll see you back here soon!"""
"March 12","The C2C: Country to Country music festival in London, Dublin and Glasgow has been postponed to later unknown dates. Headliners Eric Church, Luke Combs and Darius Rucker were set to kick off the festivities Friday (March 13). ""Thank you all for your understanding and patience at this very difficult time. C2C and its organizers apologize wholeheartedly for the time to work through the issues to get this statement out,"" the C2C festival organizers said in the statement. Old Dominion had pulled out of the festival last week citing concerns."
"March 12","Quavo announced on Instagram that he's canceling the third annual celebrity flag football game Huncho Day on the Nawf originally set for April 5, 2020. ""We are disappointed, but feel strongly about doing our part to keep people safe and this virus contained. Thanks for your support and understanding,"" the rapper's letter read. ""Please make sure you're taking the necessary steps to take care of yourself and your family."""
"March 12","Broadway officially sets its closure at 5 p.m. ET Thursday night until April 12 at New York Governor Andrew Cuomo's nearly immediate command. ""Our top priority has been and will continue to be the health and well:being of Broadway theatregoers and the thousands of people who work in the theatre industry every day, including actors, musicians, stagehands, ushers, and many other dedicated professionals,"" said Charlotte St. Martin, President of the Broadway League, said in a press release."
"March 12","AEG joined competitor Live Nation in recommending concerts be postponed through the end of the month. Earlier Thursday (March 12), Live Nation officials told employees they were pausing arena tours through the end of the month."
"March 12","Michael Bublé postponed the remaining arena shows in March and April to later unknown dates. ""I was looking forward to getting back on the road but the safety of my fans and my touring family of course take priority under the current circumstances. We will be coming back soon with new dates and everyone will be safe to enjoy a great night out. Stay well everyone,” Bublé said in a release. His tour dates beginning May 2 and on will continue as scheduled."
"March 12","Kenny Chesney announced that he's postponing the first 11 shows of his Chillaxification tour out of an abundance of caution. “You can’t take risks without really understanding the consequences,” he said in a statement. ""In times of uncertainty, I won’t take chances with those I love. I can’t imagine, as much as we love being out there playing for the fans, being able to do that through the worry our nation is experiencing."""
"March 12","Cher postponed the remainder of her ABBA:inspired Here We Go Again Tour with new dates from September to December. ""I'm heartbroken, but the health of my fans and my touring family comes first. The shows have been really special but, nothing is more important than everybody's safety. I’m excited to see everyone when we’re back out on the road,” the singer said in a press statement."
"March 12","All Los Angeles Philharmonic concerts held at Walt Disney Concert Hall have been canceled until March 31. ""The California Department of Public Health issued a mandate that all public gatherings, including concerts and presentations at Walt Disney Concert Hall, should be canceled through March 31, 2020 to protect public health and slow the rate of transmission of COVID:19,"" read an official statement on the orchestra's website."
"March 12","The 2020 Rock and Roll Hall of Fame induction ceremony at the Public Hall in Cleveland honoring Nine Inch Nails, Depeche Mode, the Doobie Brothers, T:Rex, Notorious B.I.G. and Whitney Houston has been postponed until a later date."
"March 12","Organizers of Lollapalooza Argentina have officially announced that the festival will be postponed until the second half of the year."
"March 12","Maluma has postponed the European leg of his 11:11 World Tour."
"March 12","Tove Lo has rescheduled the remaining dates on her European tour to September. ""I have been looking forward to these shows for so long, but it has become unsafe and impossible for all of us to continue as planned,"" she tweeted."
"March 12","Dan + Shay have postponed their spring tour:: dates now start in July. ""Thank you all for your patience and understanding. It is a strange, strange time for all of us, but we felt this was the right thing to do. Previously purchased tickets will be honored at all rescheduled dates. We hope everyone can make it. Keep an eye on venue websites for further information and updates. Stay safe out there,"" the band said in a statement."
"March 12","All events at Carnegie Hall in New York City for the month of March have been canceled. ""With the health and safety of its public, artists, and staff as its foremost priority, Carnegie Hall today announced that it will be closed for all public events and programming through the end of March, effective midnight tonight, in an effort to reduce the spread of the new coronavirus (COVID:19),"" read an official statement on the venue's site."
"March 12","Pixies scrapped the final five dates of their Australian tour, citing ""caution for current public health concerns."""
"March 12","The Who postponed their UK/Ireland tour, which was slated to kick off on Monday (March 16) in Manchester at the Manchester Arena. ""The fans' safety is paramount and given the developing Coronavirus situation, the band felt that they had no option but to postpone the shows,"" read a statement that promised the dates will be rescheduled for later in the year. Singer Roger Daltrey assured fans that the gigs will ""definitely happen and it may be the last time we do a tour of this type, so keep those tickets, as the shows will be fantastic,"" with guitarist/songwriter Pete Townshend adding, ”[the band] haven't reached this decision easily, but given the concerns about public gatherings, we couldn’t go ahead... if one fan caught Coronavirus at a WHO concert it would be one too many.” The pushed off shows include a Teenage Cancer Trust show at Royal Albert Hall on March 28."
"March 11","Dark Mofo, a festival in Australia's southernmost state, has been canceled due to concerns surrounding COVID-19. Bon Iver was scheduled to perform at the June fest."
"March 11","Italian orchestral death metal band Fleshgod Apocalypse postponed their North American tour:: which was slated to feature their first accompaniment by a string quartet:: due to travel restrictions tied to the coronavirus. The shows will take place at a later, as:yet:unspecified, date. ""It is with heavy hearts that we must announce the postponement of our upcoming tour in North America with the Veleno String Quartet and The Agonist,"" the band wrote to fans. ""We’re absolutely devastated about the delay, but we’re already working to reschedule the tour for late Summer/early Fall (exact dates coming soon). We know that there are so many people waiting for us in the US and Canada and we can’t wait to see you."""
"March 11","Israeli pop band Lola Marsh rescheduled a string of European dates for June and September. ""We are sad as this tour was a real dream for us, but looking forward to seeing everyone at the new shows! Wishing health and safety to all,"" they wrote in an Instagram post with the new dates."
"March 11","K:pop group Stray Kids will not be touring Europe this spring after all. The boy band's planned gigs in Madrid, Berlin, Brussels, Paris and Moscow have been put on ice, as well as their show at London's Wembley Arena on May 17 on their District 9: Unlock tour. ""We ask for your understanding as this decision has been made in consideration for the safety of the artists and audience,"" they wrote."
"March 11","Following an emergency health declaration from Houston Mayor Sylvester Turner, all remaining events for RodeoHouston have been cancelled. The Houston Livestock Show and Rodeo runs from March 3:22. Kane Brown was scheduled to perform March 11, with additional country sets by Dierks Bentley on March 15 and Keith Urban on March 16."
"March 11","The latest festival to cancel in the wake of the virus:: which has spread to 38 states and the District of Columbia:: is Knoxville, Tennessee's Big Ears Festival, which was slated to take place from march 26:39. ""This has been a tough decision. Not only is the principle that 'the show must go on' woven into our DNA, but the impact of this cancellation on the community that makes Big Ears possible — the artists, the festival attendees, our staff and production teams, and the Knoxville community with all of its businesses and workers — cannot be overstated,"" read a statement. Refunds will be offered to ticketholders for the event slated to feature sets from Devendra Banhart, Joe Henry, Kronos Quartet, Patti Smith and Thundercat, among others."
"March 11","The MUSEXPO Creative Summit 2020 set for March 22:25 in California was postponed due to following the announcement by The World Health Organization that the coronavirus (COVID:19) is now officially a pandemic. AllAccess.com's Worldwide Radio Summit 2020 is also said to be postponing in the same announcement."
"March 11","The GLAAD Media Awards were set to take place in New York on March 19, but have been cancelled in the interest of public safety over the spread of the coronavirus. Rich Ferraro, GLAAD's chief communications officer and an executive producer of the GLAAD Media Awards, says, ""we will be in touch with nominees shortly with plans for how award categories scheduled for the New York show will be announced."""
"March 11","Glass Animals canceled their March 14 show at Neumos, Seattle, following Washington governor Jay Inslee's temporary ban on group events with more than 250 people."
